Name,SMILES,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Azlocillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c4ccccc4)C(=O)N2[C@H]1C(=O)O,0.26,2.5,0.65,1.7,1.2,461.49,11,4,148.1,5,anionic,0.84,-2.5
Aztreonam,C[C@H]1[C@H](NC(=O)\C(=N/OC(C)(C)C(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.18,1.5,0.4,2.1,1.5,435.43,13,4,201.6,7,anionic,-0.95,-6.2
Baclofen,c1cc(ccc1C(CC(=O)O)CN)C,0.65,1.7,0.69,6.36,5.24,193.24,3,2,63.3,4,zwitterionic,1.1,-1.2
Bambuterol,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(c1)C(O)CNC(C)(C)C,1.6,18,,1.4,2.6,367.44,8,2,91.3,7,cationic,1.3,-0.27
Basimglurant,Cc1c(nc(n1c2ccc(cc2)F)C)C#Cc3ccnc(c3)Cl,9.7,2.8,0.01,57.4,78.9,325.77,3,0,30.7,3,neutral,4,4
Batanopride,c1(c(cc(Cl)c(c1)N)C(NCCN(CC)CC)=O)O[C@@H](C(C)=O)C,1.5,9.32,0.46,2.68,2.7,355.86,6,2,84.7,9,cationic,1.7,0.15
Batifiban,[C@@H]12N(C(=O)[C@H](Cc3c4c([nH]c3)cccc4)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CCSSC[C@H](NC1=O)C(=O)N)CCCNC(=N)N)CC(=O)O)CCC2,0.42,2.88,,2.45,2.12,817.94,20,11,323.9,10,zwitterionic,-3.7,-6
Bazedoxifene,c1cc2n(c(c3ccc(cc3)O)c(c2cc1O)C)Cc1ccc(OCCN2CCCCCC2)cc1,15.4,6.7,0.02,37.5,30,470.6,5,2,57.9,7,cationic,6.6,5.5
BB 83698,CC(C)(C)[C@H](NC(=O)[C@H](CC1CCCC1)CN(O)C=O)C(=O)N2CCN(Cc3ccc4OCOc4c3)CC2,1.1,3.1,0.2,5.9,9.4,530.66,10,2,111.6,9,neutral,2.1,2.1
Becatecarin,n1([C@H]2[C@@H]([C@@H](O)[C@@H]([C@H](O2)CO)OC)O)c2c3c(c4C(=O)N(C(c4c2c2c1c(Cl)ccc2)=O)CCN(CC)CC)c1cccc(c1[nH]3)Cl,8.9,3.13,,45.4,48.9,669.55,11,4,140.5,8,cationic,3,2.5
Beclabuvir,CN1C[C@H]2CC[C@@H](C1)N2C(=O)[C@]34C[C@H]3c5cc(ccc5-c6c(c7ccc(cc7n6C4)C(=O)NS(=O)(=O)N(C)C)C8CCCCC8)OC,0.5,1.33,0.01,6.38,5.38,659.84,10,1,104.2,6,zwitterionic,3.1,0.74
Beclomethasone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,0.29,36,0.13,0.1,0.5,521.04,7,1,107,8,neutral,4,4
Belinostat,c1c(cccc1\C=C\C(NO)=O)S(=O)(=O)Nc1ccccc1,0.8,23.6,0.06,0.6,1.6,318.35,6,3,95.5,5,neutral,1.5,1.4
Bendamustine,c12n(C)c(CCCC(=O)O)nc1cc(N(CCCl)CCCl)cc2,0.22,4.49,0.05,0.81,0.41,358.26,5,1,58.4,9,zwitterionic,3,0.65
Benperidol,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)N3C(=O)Nc4ccccc34,3.8,8.3,,7.5,5.8,381.44,5,1,52.6,6,cationic,3.7,2.9
Benzydamine,c1(OCCCN(C)C)c2c(n(n1)Cc1ccccc1)cccc2,1.53,2.28,0.8,11.4,8.1,309.41,4,0,30.3,7,cationic,4.2,0.76
Bepridil,N(c1ccccc1)(C[C@@H](N1CCCC1)COCC(C)C)Cc1ccccc1,10.1,8.7,0.001,19.3,14.9,366.54,3,0,15.7,10,cationic,5.4,4.9
Berubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)CO)O)N)OCc6ccccc6,48,18.5,,43.2,34.6,633.64,12,5,195.1,8,cationic,2.5,-0.07
Betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.3,2.8,0.36,7.9,5.6,392.46,5,3,94.8,2,neutral,1.7,1.7
Betamipron,OC(=O)CCNC(=O)c1ccccc1,0.28,9.2,0.17,0.51,0.59,193.2,4,2,66.4,4,anionic,0.56,-2.5
Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,4.8,3.4,0.4,24,17,307.43,4,2,50.7,11,cationic,2.6,0.81
Bevantolol,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,0.67,5.5,0.015,2,1.9,345.43,5,2,59.9,10,cationic,2.9,1.9
BI2536,c12c(N(C(=O)[C@H](N1C1CCCC1)CC)C)cnc(n2)Nc1c(cc(C(=O)NC2CCN(CC2)C)cc1)OC,31.2,17.1,,31.3,40.1,521.65,10,2,102.9,7,cationic,4.3,2.8
Biapenem,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)[O-])SC3C[n+]4cncn4C3,0.2,2.5,0.92,1.3,1.1,350.39,8,1,102.4,4,anionic,-3.1,-5.4
Bidisomide,[H]N([H])C([C@](CCN1CCCCC1)(CCN(C(C)C)C(C)=O)c1ccccc1[Cl])=O,2.6,5.43,,7.9,12,407.98,5,1,66.6,9,cationic,2.9,1.8
Bilastine,C(C(C)(c1ccc(cc1)CCN1CCC(CC1)c1nc2c(n1CCOCC)cccc2)C)(=O)O,0.61,2.87,0.13,3.56,5.16,463.61,6,1,67.6,10,zwitterionic,4.2,1.3
Bilobalide,CC(C)(C)C1(O)CC2OC(=O)CC23C(=O)OC4OC(=O)C(O)C134,2.5,10,,4,3.2,326.3,8,2,119.4,0,neutral,-3.4,-3.4
Bimatoprost,C(\[C@@H]1[C@H]([C@@H](O)C[C@H]1O)C\C=C/CCCC(=O)NCC)=C\[C@H](CCc1ccccc1)O,0.67,25,0.12,,0.45,415.57,5,4,89.8,12,neutral,3.3,3.3
Binodenoson,c1nc2c(nc(nc2n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N/N=C/C4CCCCC4)N,0.4,35.8,,0.19,0.21,391.42,11,5,163.9,5,cationic,-0.18,-0.18
Biolimus A9,O=C1N2[C@H](C(=O)O[C@H]([C@@H](C[C@H]3C[C@@H](OC)[C@@H](CC3)OCCOCC)C)CC(=O)[C@H](C)/C=C(\C)/[C@@H](O)[C@@H](OC)C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C(/[C@H](C[C@H]3O[C@](C1=O)(O)[C@H](C)CC3)OC)\C)C)C)CCCC2,44.5,12.2,,60.9,93.9,986.28,15,2,193.7,11,neutral,6.7,6.7
Biperiden,OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4,12,12,0.097,17,24,311.46,2,1,23.5,5,cationic,4.4,2.5
Biricodar,N1([C@@H](CCCC1)C(=O)OC(CCCc1cnccc1)CCCc1cnccc1)C(=O)C(c1cc(c(c(c1)OC)OC)OC)=O,1.34,8.5,,2.62,1.1,603.71,10,0,117.1,16,neutral,5.4,5.4
Bisaramil,CCN1C[C@H]2CN(C)C[C@@H](C1)C2OC(=O)c3ccc(Cl)cc3,9,17,,8.8,8.6,322.83,4,0,32.8,4,cationic,3.3,1.8
Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,2.4,3.7,0.66,11,10,325.44,5,2,59.9,12,cationic,2.2,0.46
Bivalirudin,C([C@H]1N(CCC1)C([C@@H](Cc1ccccc1)N)=O)(=O)N[C@H](C(N1[C@H](C(=O)NCC(=O)NCC(NCC(=O)NCC(=O)N[C@H](C(NCC(=O)N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@H](C(N[C@H](C(N[C@@H](Cc2ccc(O)cc2)C(N[C@@H](CC(C)C)C(=O)O)=O)=O)CCC(O)=O)=O)CCC(O)=O)[C@H](CC)C)=O)CCC(O)=O)=O)CCC(O)=O)=O)Cc2ccccc2)=O)CC(O)=O)=O)CC(=O)N)=O)CCC1)=O)CCCNC(N)=N,0.27,8.1,1,0.43,0.42,2180.29,57,28,901.6,67,anionic,-6.6,-9
Bizelesin,c12c(N(C(c3cc4cc(NC(Nc5cc6c([nH]c(c6)C(N6c7c(c8c([nH]cc8C)c(c7)O)[C@@H](C6)CCl)=O)cc5)=O)ccc4[nH]3)=O)C[C@H]2CCl)cc(O)c2c1c(c[nH]2)C,0.05,0.5,,1.7,1.6,815.7,13,8,185.4,6,neutral,5.9,5.9
Bleomycin,O([C@H]([C@H](NC(c1nc([C@@H](NC[C@@H](C(N)=O)N)CC(N)=O)nc(c1C)N)=O)C(N[C@@H]([C@H]([C@@H](C(N[C@H](C(NCCc1nc(c2nc(C(NCCC[S+](C)C)=O)cs2)cs1)=O)[C@@H](C)O)=O)C)O)C)=O)c1c[nH]cn1)[C@@H]1[C@@H](O[C@@H]2[C@@H]([C@@H]([C@@H](O)[C@@H](O2)CO)OC(N)=O)O)[C@@H]([C@@H](O)[C@@H](O1)CO)O,0.43,1.26,,5.77,3.9,1415.55,38,20,627.1,36,cationic,-9,-9
BLP1654,N12[C@@H](C(S[C@@H]2[C@@H](C1=O)NC(=O)[C@@H](c1ccccc1)NC(=O)NC(=N)N)(C)C)C(=O)O,0.24,1.6,0.8,2.5,2.09,434.47,11,6,177.7,6,zwitterionic,0.061,-2.3
BMS-214662,O=S(=O)(N1Cc2cc(ccc2N(Cc3cnc[nH]3)C[C@H]1Cc4ccccc4)C#N)c5cccs5,0.84,9.6,0.01,1.4,1.6,489.61,7,1,93.1,7,neutral,3.6,3.5
Bortezomib,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O,10,19,0.17,8.8,18,384.24,8,4,124.4,9,neutral,0.8,0.8
Bosentan,COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4,0.29,2.1,0.037,2.3,4.1,551.61,11,2,145.6,10,anionic,3.9,0.76
Brexpiprazole,c1cc(c2ccsc2c1)N3CCN(CC3)CCCCOc4ccc5ccc(=O)[nH]c5c4,1.46,0.34,0.002,70.95,54.37,433.57,5,1,48.6,7,cationic,5,2.6
Brivaracetam,CCC[C@H]1CN([C@@H](CC)C(=O)N)C(=O)C1,0.56,0.75,0.825,12.47,8.98,212.29,4,1,63.4,5,neutral,0.82,0.82
Bromazepam,Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,0.85,0.51,0.48,28,21,316.15,4,1,54.3,1,neutral,2,2
Bromfenac,Nc1c(CC(=O)O)cccc1C(=O)c2ccc(Br)cc2,0.11,1.3,0.0011,1.5,2.6,334.16,4,2,80.4,4,anionic,3.3,0.33
Bromopride,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,3.1,13,0.6,4,2.9,344.25,5,2,67.6,7,cationic,2,0.44
Bromotetrandrine,O(C)c1c2c3c(c(c1OC)Br)CCN([C@H]3Cc1cc(c(cc1)OC)Oc1ccc(C[C@H]3c4cc(O2)c(OC)cc4CCN3C)cc1)C,51,9.6,0.22,88.2,59.4,701.65,8,0,61.9,4,cationic,8.3,7.2
Brostallicin,c1c(cn(c1C(=O)NCC/N=C(/N)N)C)NC(=O)c1n(cc(c1)NC(=O)c1cc(cn1C)NC(=O)c1cc(cn1C)NC(=O)C(=C)Br)C,0.36,5.15,,1.2,8.3,723.58,17,7,229.6,12,neutral,1.9,1.9
Brotizolam,Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Br)sc4n12,0.75,2,0.092,6,4.8,393.69,4,0,43.1,1,neutral,2.8,2.7
Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,3.9,20,0.13,3.2,2.8,430.53,6,2,93.1,4,neutral,3,3
Buflomedil,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,1.3,5.6,0.4,3.9,3.3,307.38,5,0,48,8,cationic,2.5,0.52
Bufuralol,CCc1cccc2cc(oc12)C(O)CNC(C)(C)C,1.7,8.9,0.19,3.2,2.3,261.36,3,2,45.7,4,cationic,3.3,1.7
Bumecaine,CCCCN1CCCC1C(=O)Nc2c(cc(cc2C)C)C,1.73,19.19,,1.51,1.58,288.43,3,1,32.3,5,cationic,4,3.3
Bumetanide,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O,0.16,2.5,0.031,1.1,1.2,364.42,7,3,118.7,8,anionic,3.4,0.56
Bunazosin,CCCC(=O)N1CCCN(CC1)c2nc(N)c3cc(OC)c(OC)cc3n2,0.72,4.8,0.06,2.5,2,373.45,8,1,93.8,5,neutral,2.7,2.6
Bupivacaine,CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C,0.84,4.3,0.056,3.3,3.1,288.43,3,1,32.3,5,cationic,4,3.4
Buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,4.9,19,0.04,4.9,3.2,467.64,5,2,62.2,4,cationic,4.4,3.1
Busulphan,CS(=O)(=O)OCCCCOS(=O)(=O)C,0.55,2.4,1,3.8,3.4,246.3,6,0,86.7,7,neutral,-0.72,-0.72
Buthionine sulfoximine,C([S@@](CCCC)(=N)=O)C[C@@H](C(O)=O)N,0.26,2.28,,1.9,1.68,222.31,5,3,104.2,7,zwitterionic,-0.19,-2.5
Butorphanol,Oc1ccc2C[C@H]3N(CC4CCC4)CC[C@@]5(CCCC[C@@]35O)c2c1,12,41,0.17,5.3,4.8,327.46,3,2,43.7,2,cationic,3.2,2.1
Butylbiguanide,CCCCNC(=N)NC(=N)N,1.84,6.58,0.9,4.66,4.62,157.22,5,5,97.8,6,cationic,-0.61,-4.1
Cabazitaxel,C1(C2=C([C@H](C[C@]1([C@H]([C@H]1[C@](C(=O)[C@@H]2OC)([C@H](C[C@@H]2[C@]1(CO2)OC(=O)C)OC)C)OC(=O)c1ccccc1)O)OC(=O)[C@@H]([C@H](c1ccccc1)NC(=O)OC(C)(C)C)O)C)(C)C,48,11,0.24,72.7,74.5,835.93,15,3,202.4,14,neutral,4,4
Caderofloxacin,n1(cc(c(c2cc(c(c(c12)OC(F)F)N1C[C@@H](NCC1)C)F)=O)C(=O)O)C1CC1,1.1,2.7,,7.1,5.9,411.38,7,2,83.8,5,zwitterionic,2.5,-0.28
Caffeine,CN1C(=O)N(C)c2ncn(C)c2C1=O,0.63,1.4,0.64,7.5,4.9,194.19,6,0,58.4,0,neutral,0.078,0.078
Calcitonin,CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc7ccc(cc7)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CS)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)[C@H](CS)N,0.23,10,,0.38,0.82,3419.86,85,45,1359.6,105,cationic,-9,-9
Calcitriol,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,0.25,0.31,,13.29,11,416.64,3,3,60.7,5,neutral,6,6
Canagliflozin,Cc1ccc(cc1Cc2ccc(s2)c3ccc(cc3)F)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,1.19,2.74,0.01,7.25,10.3,444.52,5,4,90.1,5,neutral,3.3,3.3
Candesartan,CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)C(=O)O,0.13,0.37,0.002,5.9,9.7,440.45,9,2,118.8,7,anionic,4.9,-0.31
Candoxatrilat,[H]N(C1CCC(CC1)C(=O)O[H])C(C1(CCCC1)CC[C@@H](COCOC)C(=O)O[H])=O,0.25,2.3,0.872,1.81,16,399.48,8,3,122.2,13,anionic,1.6,-3.6
Cangrelor,CSCCNc1nc(SCCC(F)(F)F)nc2n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)CO[P@@](O[P@@](O)(=O)C(Cl)(P(O)(O)=O)Cl)(O)=O)cnc12,0.035,9.06,0.02,0.07,0.14,776.36,17,7,255.9,15,anionic,-1.4,-8.6
Cannabidiol,CCCCCc1cc(O)c([C@@H]2C=C(C)CC[C@H]2C(=C)C)c(O)c1,6.69,13.55,,8.23,23.82,314.46,2,2,40.5,6,neutral,7.4,7.4
Cannabinol,c12c3c(OC(c1ccc(c2)C)(C)C)cc(CCCCC)cc3O,16.98,17.85,,15.86,25.51,310.43,2,1,29.5,4,neutral,6.7,6.7
Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,0.75,12,0.73,1,2,217.29,4,1,57.6,3,anionic,0.97,-2.2
Carbazeran,c1(c(OC)cc2c(c1)c(nnc2)N1CCC(CC1)OC(NCC)=O)OC,0.67,37.6,0.08,0.25,0.25,360.41,8,1,85.8,6,neutral,2.3,2.3
Carbenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.17,1.9,0.52,1.5,1.1,378.4,8,3,124,5,anionic,1.2,-5.4
Carboplatin,N[Pt+2]1(N)[O-]C(=O)C2(CCC2)C(=O)[O-]1,0.26,1.5,1,3,2,369.24,6,2,108.8,0,n/a,n/a,n/a
Carebastine,C1C(CCN(C1)CCCC(c1ccc(C(C(=O)O)(C)C)cc1)=O)OC(c1ccccc1)c1ccccc1,0.41,0.4,0.05,16.7,9.8,499.64,5,1,66.8,11,zwitterionic,5.9,3
Carfilzomib,C1O[C@]1(C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC(=O)CN1CCOCC1)CCc1ccccc1)=O)CC(C)C)=O)Cc1ccccc1)=O)CC(C)C)=O)C,0.13,39.5,0.02,0.05,1.1,719.91,12,4,158.5,20,neutral,5,4.9
Carmustine (BCNU),ClCCNC(=O)N(CCCl)N=O,1.2,78,0.23,0.26,0.37,214.05,5,1,61.8,5,neutral,1.4,1.4
Carnitine_L,C([N+](C)(C)C)[C@@H](CC(=O)[O-])O,0.4,1.6,1,4.2,5,161.2,4,1,60.4,4,anionic,-4.6,-4
Carocainide,C1CCN(C1)CCOc1c(OC)c2occc2c(c1NC(NC)=O)OC,0.8,3.2,,4.2,5,363.41,8,2,85.5,7,cationic,1.4,0.3
Carprofen,CC(c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)O,0.22,0.51,0.001,7.2,9.9,273.71,3,2,53.1,2,anionic,4,0.95
Carteolol,c12c(cccc1OC[C@@H](CNC(C)(C)C)O)NC(=O)CC2,,10.1,,,4.7,292.37,5,3,70.6,5,cationic,1.3,-0.6
Carumonam,NC(=O)OC[C@@H]1[C@H](NC(=O)\C(=N/OCC(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.18,1.5,0.72,2,1.6,466.4,16,5,253.9,10,anionic,-2.8,-8
Carvedilol,COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23,1.3,7.8,0.02,2.8,2.4,406.47,6,3,75.7,10,cationic,3.6,2.9
Carzelesin,c1(N(CC)CC)cc2oc(C(Nc3ccc4c(c3)cc([nH]4)C(N3C[C@H](c4c5c([nH]cc5C)c(OC(=O)Nc5ccccc5)cc34)CCl)=O)=O)cc2cc1,0.09,2.9,,0.51,0.48,729.22,11,4,136,10,neutral,7.7,7.7
Casopitant,c1(cc(cc(c1)[C@H](N(C(=O)N1CC[C@@H](C[C@@H]1c1c(cc(cc1)F)C)N1CCN(CC1)C(=O)C)C)C)C(F)(F)F)C(F)(F)F,2.77,3.07,1,15.04,15.6,616.61,6,0,47.1,4,neutral,5.4,5.4
Caspofungin,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(NCCN)NC(=O)C2C(O)CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(O)CN3C(=O)C(NC1=O)C(C)O)C(O)C(O)c4ccc(O)cc4)C(O)CCN,0.13,0.14,0.035,15,27,1093.31,25,16,412,23,cationic,-1.4,-6.3
CB 10-277,CN(C)N=Nc1ccc(cc1)C(=O)O,0.25,1.3,,3,2.5,193.2,5,1,65.3,3,anionic,2.5,-0.32
CDK-712,C([C@H]1c2c(cc(c(c2)O)O)CCN1)c1c2c(ccc1)cccc2,1.09,156,,0.12,1.58,305.37,3,3,52.5,2,cationic,3.7,2.6
Cefadroxil,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O,0.23,2.5,0.39,1.5,1.1,363.39,8,4,133,4,zwitterionic,-0.7,-2.1
Cefamandole,Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(=O)O,0.16,3.6,0.25,0.75,0.75,462.5,11,3,150.5,7,anionic,-0.37,-3.4
Cefatrizine,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3c[nH]nn3)c4ccc(O)cc4,0.22,3.3,0.4,1.1,1.2,462.5,11,5,174.5,7,anionic,-0.69,-4.7
Cefazedone,c1(nnc(s1)C)SCC=1CS[C@H]2N(C1C(O)=O)C([C@H]2NC(Cn1cc(c(c(c1)Cl)=O)Cl)=O)=O,0.13,0.95,,2.3,1.91,548.44,10,2,134.5,7,anionic,0.66,-2.3
Cefazolin,Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)O)s1,0.12,0.89,0.18,2.2,1.7,454.51,12,2,156.1,7,anionic,-1.2,-4.2
Cefbuperazone,CCN1CCN(C(=O)N[C@H]([C@H](C)O)C(=O)N[C@@]2(OC)[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4C)C(=O)C1=O,0.19,1.1,,2.9,1.9,627.65,18,4,229.5,10,anionic,-2.4,-5.4
Cefcanel,Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(=O)O)s1,0.13,2.6,,0.83,1,478.57,9,3,132.7,7,anionic,0.83,-2.2
Cefclidin,[H]N([H])C(C12CC[N+](CC1)(CC2)CC1CSC2[C@@H](C(N2C=1C(=O)O[H])=O)N([H])C(C(c1nc(N([H])[H])sn1)=NOC)=O)=O,0.27,1.7,,2.6,2.2,551.62,14,4,203.2,10,anionic,-5.6,-4.6
Cefepime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[N+]3(C)CCCC3)\c4csc(N)n4,0.28,2.2,0.78,2.1,1.9,480.56,11,2,150,7,anionic,-3.6,-2.7
Cefetamet,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C)\c3csc(N)n3,0.28,1.9,0.78,2.5,2.1,397.43,10,3,147.2,5,anionic,0.36,-2.6
Cefixime,Nc1nc(cs1)\C(=N\OCC(=O)O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)C=C,0.24,1,0.31,3.9,3.2,453.45,12,4,184.5,8,anionic,-0.38,-6.7
Cefmenoxime,N12[C@@H]([C@@H](NC(\C(c3csc(n3)N)=N/OC)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)C,0.2,3.65,0.31,0.77,0.89,511.56,14,3,190.8,8,anionic,-0.15,-3.2
Cefmetazole,CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nnnn3C,0.13,1.5,0.15,1.5,1.5,471.53,12,2,163.3,10,anionic,-1.4,-4.3
Cefodizime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nc(C)c(CC(=O)O)s3)\c4csc(N)n4,0.054,0.61,0.18,1.5,4.2,584.67,13,4,197.4,10,anionic,1.3,-4.9
Cefonicid,N12[C@@H]([C@@H](NC([C@@H](c3ccccc3)O)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)CS(O)(=O)=O,0.14,0.38,0.02,5.8,5.1,542.57,14,4,204.9,9,anionic,-1.5,-6.7
Cefoperazone,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,0.17,1.3,0.07,2.2,1.8,645.67,17,4,220.3,9,anionic,-1.2,-4.3
Ceforanide,NCc1ccccc1CC(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4CC(=O)O,0.17,0.66,0.19,4.3,3,519.55,13,4,193.6,10,anionic,-1.3,-4.7
Cefoselis,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]1ccc(N)n1CCO)c1csc(n1)N,0.3,1.77,,2.78,2.9,522.56,14,4,205.1,9,anionic,-1.9,-4.2
Cefotaxime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)\c3csc(N)n3,0.19,2.7,0.6,1.2,1.2,455.47,12,3,173.5,8,anionic,-0.053,-3.1
Cefotetan,CO[C@]1(NC(=O)C2SC(=C(C(=O)N)C(=O)O)S2)[C@H]3SCC(=C(N3C1=O)C(=O)O)CSc4nnnn4C,0.13,0.42,0.15,5.2,4.5,575.62,15,4,219.9,9,anionic,-1.8,-7.1
Cefotiam,CN(C)CCn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cc4csc(N)n4)C3=O)C(=O)O,0.26,5.8,0.5,0.76,0.84,525.63,13,3,172.5,10,zwitterionic,-1.2,-4.3
Cefoxitin,CO[C@]1(NC(=O)Cc2cccs2)[C@H]3SCC(=C(N3C1=O)C(=O)O)COC(=O)N,0.17,3.6,0.73,0.79,0.81,427.45,10,3,148.3,8,anionic,-0.81,-3.8
Cefozopran,[H]N([H])c1nc(C(C(N([H])[C@H]2C(N3C(=C(CN4C=CN5C4=CC=C[N-]5)CS[C@H]23)C(=O)O[H])=O)=O)=NOC)ns1,0.24,2.1,0.74,2,1.7,516.53,14,3,180.7,9,anionic,-1.3,-4.8
