CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup,smiles_r,InChICode_standardised,molecular_weight_smiles_r
Oc1ccc(cc1O)C[C@H](N)C(=O)O,Levodopa,23.0,109.0,23.7,,1.7,,0.76,,0.76,,,,[NH3+]C(Cc1ccc([O-])c([O-])c1)C(=O)[O-],"InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/p-2",195.05425492782
C#C[C@]1(O)CC[C@H]([C@@]12CC)[C@H]3[C@H](CC2)[C@@H]4C(CC3)=CC(=O)CC4,Levonorgestrel,1.8,1.3,,,1.5,0.74,,,0.025,,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,"InChI=1S/C21H28O2/c1-3-20-11-9-17-16-8-6-15(22)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,5,16-19,23H,3,6-13H2,1H3/t16?,17-,18-,19+,20+,21+/m1/s1",312.208930136
C[C@@H]1CC(=O)NN=C1c2ccc(cc2)NN=C(C#N)C#N,Levosimendan,3.8,,3.37,,0.24,,0.22,,0.02,,,,CC1CC(=O)[N-]N=C1c1ccc(NN=C(C#N)C#N)cc1,"InChI=1S/C14H12N6O/c1-9-6-13(21)19-20-14(9)10-2-4-11(5-3-10)17-18-12(7-15)8-16/h2-5,9H,6H2,1H3,(H2,17,19,20,21)/p-1",279.09998255191005
CCN(CC)CC(=O)Nc1c(C)cccc1C,Lidocaine,16.0,46.7,37.0,66.0,1.8,2.52,2.1,0.98,0.33,0.43,,0.392,CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,"InChI=1S/C14H22N2O/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4/h7-9H,5-6,10H2,1-4H3,(H,15,17)/p+1",235.18048977608998
CC(C)N1CCC(CC1)N(c2ccc(Cl)cc2)C(=O)Cc3ccccc3,Lorcainide,16.0,103.0,,,6.6,15.7,,,0.15,0.26,,,CC(C)[NH+]1CCC([NH+](C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,"InChI=1S/C22H27ClN2O/c1-17(2)24-14-12-21(13-15-24)25(20-10-8-19(23)9-11-20)22(26)16-18-6-4-3-5-7-18/h3-11,17,21H,12-16H2,1-2H3/p+2",372.19574406818
[C@@]123[C@@H]4C(=O)CC[C@@]2(O)[C@H](N(CC3)CC5CC5)Cc6c1c(O4)c(O)cc6,ltrexone,57.0,,90.0,54.5,7.6,,11.0,7.59,0.79,,,,O=C1CC[C@@]2(O)[C@H]3Cc4ccc([O-])c5c4[C@@]2(CC[NH+]3CC2CC2)C1O5,"InChI=1S/C20H23NO4/c22-13-4-3-12-9-15-20(24)6-5-14(23)18-19(20,16(12)17(13)25-18)7-8-21(15)10-11-1-2-11/h3-4,11,15,18,22,24H,1-2,5-10H2/t15-,18?,19+,20-/m1/s1",341.162708216
c1cccc(c12)sc(n2)N(C)C3CCN(CC3)C[C@H](O)COc4cc(F)c(F)cc4,Lubeluzole,1.7,25.0,41.6,,2.6,4.24,1.47,,0.003,0.008,,,C[NH+](c1nc2ccccc2s1)C1CC[NH+](C[C@H](O)COc2ccc(F)c(F)c2)CC1,"InChI=1S/C22H25F2N3O2S/c1-26(22-25-20-4-2-3-5-21(20)30-22)15-8-10-27(11-9-15)13-16(28)14-29-17-6-7-18(23)19(24)12-17/h2-7,12,15-16,28H,8-11,13-14H2,1H3/p+2/t16-/m0/s1",435.17810738417995
FC1(F)CCC(CC1)C(=O)N[C@H](c2ccccc2)CCN([C@@H]34)[C@H](CC3)CC(C4)n5c(C(C)C)nnc5C,Maraviroc,9.4,74.0,21.0,,2.3,2.53,2.32,,0.25,0.49,0.36,,Cc1nnc(C(C)C)n1C1C[C@H]2CC[C@@H](C1)[NH+]2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,"InChI=1S/C29H41F2N5O/c1-19(2)27-34-33-20(3)36(27)25-17-23-9-10-24(18-25)35(23)16-13-26(21-7-5-4-6-8-21)32-28(37)22-11-14-29(30,31)15-12-22/h4-8,19,22-26H,9-18H2,1-3H3,(H,32,37)/p+1/t23-,24+,25?,26-/m0/s1",514.33519382409
Clc1cc(c(cc1)OC)[C@](F)(C(=O)N2)c(c23)ccc(c3)C(F)(F)F,Maxipost,15.0,43.0,3.5,,10.0,6.3,4.06,,0.0038,,0.0067,,COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,"InChI=1S/C16H10ClF4NO2/c1-24-13-5-3-9(17)7-11(13)15(18)10-4-2-8(16(19,20)21)6-12(10)22-14(15)23/h2-7H,1H3,(H,22,23)/t15-/m0/s1",359.03361911999997
CC(C)Oc1ccccc1N2CCN(CC2)Cc3cc(ccc3)C(=O)N4CCCCC4,Mazapertine,6.17,39.2,,,1.54,1.73,,,0.011,0.03,,,CC(C)Oc1ccccc1N1CC[NH+](Cc2cccc(C(=O)[NH+]3CCCCC3)c2)CC1,"InChI=1S/C26H35N3O2/c1-21(2)31-25-12-5-4-11-24(25)28-17-15-27(16-18-28)20-22-9-8-10-23(19-22)26(30)29-13-6-3-7-14-29/h4-5,8-12,19,21H,3,6-7,13-18,20H2,1-2H3/p+2",423.28748026418003
c1ccccc1C(=O)c(cc2)cc(c23)[nH]c(n3)NC(=O)OC,Mebendazole,15.0,9.8,,,1.2,2.6,,,0.086,,,,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[n-]1,"InChI=1S/C16H13N3O3/c1-22-16(21)19-15-17-12-8-7-11(9-13(12)18-15)14(20)10-5-3-2-4-6-10/h2-9H,1H3,(H2,17,18,19,20,21)/p-1",294.08841482391006
C1CCCCC1[C@@H](NCC(=O)O)C(=O)N2[C@@H](CC2)C(=O)NCc3ccc(cc3)/C(N)=N/[H],Melagatran,1.9,16.9,7.0,,0.23,0.39,0.36,,0.93,0.9,0.89,,[H]/[NH+]=C(\N)c1ccc(CNC(=O)C2CC[NH+]2C(=O)C([NH2+]CC(=O)[O-])C2CCCCC2)cc1,"InChI=1S/C22H31N5O4/c23-20(24)16-8-6-14(7-9-16)12-26-21(30)17-10-11-27(17)22(31)19(25-13-18(28)29)15-4-2-1-3-5-15/h6-9,15,17,19,25H,1-5,10-13H2,(H3,23,24)(H,26,30)(H,28,29)/p+2",431.2521573761799
c1cccc(c12)S(=O)(=O)N(C)C(=C2O)C(=O)Nc3sc(cn3)C,Meloxicam,0.12,0.25,0.17,,0.15,0.26,0.35,,0.003,0.004,0.03,,Cc1cnc(NC(=O)C2C(=O)c3ccccc3S(=O)(=O)[NH+]2C)s1,"InChI=1S/C14H13N3O4S2/c1-8-7-15-14(22-8)16-13(19)11-12(18)9-5-3-4-6-10(9)23(20,21)17(11)2/h3-7,11H,1-2H3,(H,15,16,19)/p+1",352.04202434809
O[C@@H]1[C@H](C)O[C@H](C[C@@H]1N)O[C@@H]2[C@@H](O)C[C@@H](O[C@H]2C)O[C@@H](C[C@@](O)(C3)C(=O)CO)c(c34)c(O)c5c(c4O)C(=O)c6c(C5=O)cccc6,MEN-10755,2.5,10.8,18.3,,2.4,13.3,12.0,,,,,,C[C@@H]1O[C@@H](O[C@H]2[C@H](C)O[C@@H](O[C@H]3C[C@](O)(C(=O)CO)Cc4c([O-])c5c(c([O-])c43)C(=O)c3ccccc3C5=O)C[C@@H]2O)C[C@H]([NH3+])[C@@H]1O,"InChI=1S/C32H37NO13/c1-12-26(37)17(33)7-21(43-12)46-31-13(2)44-22(8-18(31)35)45-19-10-32(42,20(36)11-34)9-16-23(19)30(41)25-24(29(16)40)27(38)14-5-3-4-6-15(14)28(25)39/h3-6,12-13,17-19,21-22,26,31,34-35,37,40-42H,7-11,33H2,1-2H3/p-1/t12-,13-,17-,18-,19-,21-,22-,26+,31-,32-/m0/s1",642.21921379191
C1CN(C)CCC1(C(=O)OCC)c2ccccc2,Meperidine,4.9,245.0,43.0,,2.3,9.2,2.4,,0.42,,,,CCOC(=O)C1(c2ccccc2)CC[NH+](C)CC1,"InChI=1S/C15H21NO2/c1-3-18-14(17)15(9-11-16(2)12-10-15)13-7-5-4-6-8-13/h4-8H,3,9-12H2,1-2H3/p+1",248.16450536409
Oc1cccc(c1)C2(CC)CCCCN(C2)C,Meptazinol,28.0,58.4,,,3.3,4.4,,,0.73,,,,CCC1(c2cccc([O-])c2)CCCC[NH+](C)C1,"InChI=1S/C15H23NO/c1-3-15(9-4-5-10-16(2)12-15)13-7-6-8-14(17)11-13/h6-8,11,17H,3-5,9-10,12H2,1-2H3",233.177964356
CN(C)C(=O)[C@H]1[NH2+]C[C@H](C1)SC([C@@H]2C)=C(C([O-])=O)N([C@H]23)C(=O)[C@@H]3[C@H](O)C,Meropenem,3.9,26.4,4.0,7.5,0.3,0.14,0.22,0.23,0.87,0.5,0.7258,0.6661,C[C@@H](O)C1C(=O)[NH+]2C(C(=O)[O-])=C(S[C@@H]3C[NH2+]C(C(=O)[NH+](C)C)C3)[C@H](C)[C@H]12,"InChI=1S/C17H25N3O5S/c1-7-12-11(8(2)21)16(23)20(12)13(17(24)25)14(7)26-9-5-10(18-6-9)15(22)19(3)4/h7-12,18,21H,5-6H2,1-4H3,(H,24,25)/p+2/t7-,8-,9+,10?,11?,12-/m1/s1",385.16604480418005
COC(C)C(=O)N1CCN(CC1)c(nc2N)nc(c23)cc(OC)c(c3)OC,Metazosin,0.53,44.2,,,0.44,5.9,,,,,,,COc1cc2nc(N3CC[NH+](C(=O)C(C)OC)CC3)nc(N)c2cc1OC,"InChI=1S/C18H25N5O4/c1-11(25-2)17(24)22-5-7-23(8-6-22)18-20-13-10-15(27-4)14(26-3)9-12(13)16(19)21-18/h9-11H,5-8H2,1-4H3,(H2,19,20,21)/p+1",376.19793073209
CN(C)/C(=N\[H])N=C(N)N,Metformin,7.4,16.8,,,0.64,0.54,,,1.0,,,,[H]/[NH+]=C(/N=C([NH3+])[NH3+])N(C)C,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)/p+3",132.12327470827
c1ccccc1C(C(=O)CC)(CC(C)N(C)C)c2ccccc2,Methadone,1.7,60.0,41.4,,4.4,8.28,7.6,,0.21,,,,CCC(=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1,"InChI=1S/C21H27NO/c1-5-20(23)21(16-17(2)22(3)4,18-12-8-6-9-13-18)19-14-10-7-11-15-19/h6-15,17H,5,16H2,1-4H3/p+1",310.21654093609
CN[C@@H](C)Cc1ccccc1,Methamphetamine,4.4,126.0,,,4.3,9.0,,,0.85,0.92,,,C[NH2+][C@@H](C)Cc1ccccc1,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3/p+1/t9-/m0/s1",150.12772593209
OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(C)Cc(cn2)nc(c23)c(N)nc(n3)N,Methotrexate,2.1,10.5,0.587,,0.43,0.16,0.54,,0.37,0.68,,,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1,"InChI=1S/C20H22N8O5/c1-28(9-11-8-23-17-15(24-11)16(21)26-20(22)27-17)12-4-2-10(3-5-12)18(31)25-13(19(32)33)6-7-14(29)30/h2-5,8,13H,6-7,9H2,1H3,(H,25,31)(H,29,30)(H,32,33)(H4,21,22,23,26,27)/p-2",452.1567628998199
c1ccccc1C(C(=O)OC)C2NCCCC2,Methylphenidate,0.55,53.0,,,2.2,3.0,,,0.85,,,,COC(=O)C(c1ccccc1)C1CCCC[NH2+]1,"InChI=1S/C14H19NO2/c1-17-14(16)13(11-7-3-2-4-8-11)12-9-5-6-10-15-12/h2-4,7-8,12-13,15H,5-6,9-10H2,1H3/p+1",234.14885530009
OCC(=O)[C@@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@H]([C@@H](O)C2)[C@]4(C)C([C@H](C3)C)=CC(=O)C=C4,Methylprednisolone,6.1,62.1,,,1.2,1.4,,,0.23,,,,CC1=C2CC(=O)C=C[C@]2(C)[C@@H]2[C@@H](C1)[C@@H]1CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@@H]2O,"InChI=1S/C22H30O5/c1-12-8-14-15-5-7-22(27,18(26)11-23)21(15,3)10-17(25)19(14)20(2)6-4-13(24)9-16(12)20/h4,6,14-15,17,19,23,25,27H,5,7-11H2,1-3H3/t14-,15-,17-,19+,20-,21-,22-/m0/s1",374.2093240599999
Nc1cc(OC)c(cc1Cl)C(=O)NCCN(CC)CC,Metoclopramide,5.7,48.0,23.1,,3.2,3.3,1.1,,0.6,0.4257,,,CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,"InChI=1S/C14H22ClN3O2/c1-4-18(5-2)7-6-17-14(19)10-8-11(15)12(16)9-13(10)20-3/h8-9H,4-7,16H2,1-3H3,(H,17,19)/p+1",300.14733107609
CC(C)NCC(O)COc1ccc(cc1)CCOC,Metoprolol,13.0,87.2,32.8,21.9,3.1,6.3,3.1,14.0,0.88,0.69,0.7562,0.8245,COCCc1ccc(OCC(O)C[NH2+]C(C)C)cc1,"InChI=1S/C15H25NO3/c1-12(2)16-10-14(17)11-19-15-6-4-13(5-7-15)8-9-18-3/h4-7,12,14,16-17H,8-11H2,1-3H3/p+1",268.19072011209
OCCn1c(C)ncc1[N+]([O-])=O,Metronidazole,0.85,5.8,2.5,,0.4,1.2,0.1,,0.96,0.96,0.9832,,Cc1ncc([N+](=O)[O-])n1CCO,"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3",171.064391148
OC(=O)[C@@H](C(S1)(C)C)N([C@H]12)C(=O)[C@H]2NC(=O)[C@@H](c3ccccc3)NC(=O)N4CCN(C4=O)S(=O)(=O)C,Mezlocillin,2.1,50.0,,,0.09,0.3,,,0.7,0.65,,,CC1(C)S[C@@H]2C(NC(=O)C(NC(=O)[NH+]3CC[NH+](S(C)(=O)=O)C3=O)c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],"InChI=1S/C21H25N5O8S2/c1-21(2)14(18(29)30)26-16(28)13(17(26)35-21)22-15(27)12(11-7-5-4-6-8-11)23-19(31)24-9-10-25(20(24)32)36(3,33)34/h4-8,12-14,17H,9-10H2,1-3H3,(H,22,27)(H,23,31)(H,29,30)/p+2/t12?,13?,14?,17-/m1/s1",541.1290076641798
Fc(c1)ccc(c12)[C@H](C(C)C)[C@@](CC2)(OC(=O)COC)CCN(C)CCCc(n3)[nH]c(c34)cccc4,Mibefradil,4.0,94.0,18.4,,3.1,,9.7,,0.005,,,,COCC(=O)O[C@]1(CC[NH+](C)CCCc2nc3ccccc3[n-]2)CCc2cc(F)ccc2[C@@H]1C(C)C,"InChI=1S/C29H37FN3O3/c1-20(2)28-23-12-11-22(30)18-21(23)13-14-29(28,36-27(34)19-35-4)15-17-33(3)16-7-10-26-31-24-8-5-6-9-25(24)32-26/h5-6,8-9,11-12,18,20,28H,7,10,13-17,19H2,1-4H3/q-1/p+1/t28-,29-/m0/s1",495.289720296
Fc1ccccc1C2=NCc(cnc3C)n3c(c24)ccc(Cl)c4,Midazolam,5.3,90.0,35.2,22.3,1.1,2.6,1.1,3.0,0.017,0.04,0.0223,0.1462,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,"InChI=1S/C18H13ClFN3/c1-11-21-9-13-10-22-18(14-4-2-3-5-16(14)20)15-8-12(19)6-7-17(15)23(11)13/h2-9H,10H2,1H3",325.07820331600004
Oc1ccc(O)c(c12)C(=O)c3c(C2=O)c(NCCNCCO)ccc3NCCNCCO,Mitoxantrone,7.9,,10.0,,12.0,,26.6,,0.25,,,,O=C1c2c([O-])ccc([O-])c2C(=O)c2c(NCC[NH2+]CCO)ccc(NCC[NH2+]CCO)c21,"InChI=1S/C22H28N4O6/c27-11-9-23-5-7-25-13-1-2-14(26-8-6-24-10-12-28)18-17(13)21(31)19-15(29)3-4-16(30)20(19)22(18)32/h1-4,23-30H,5-12H2",444.200884616
[C@@]123[C@@H]4[C@@H](O)C=C[C@H]2[C@H](N(C)CC3)Cc5c1c(O4)c(O)cc5,Morphine,26.0,57.9,61.1,45.4,2.3,14.9,4.1,2.6,0.65,0.86,0.88,0.81,C[NH+]1CC[C@]23c4c5ccc([O-])c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2-5,10-11,13,16,19-20H,6-8H2,1H3/t10-,11+,13-,16-,17-/m0/s1",285.136493468
Cn1nnnc1SCC(CO2)=C(C(=O)O)N([C@H]23)C(=O)[C@@]3(OC)NC(=O)C(C(=O)O)c4ccc(O)cc4,Moxalactam,0.72,9.1,2.2,2.3,0.17,0.25,0.2,0.19,0.39,1.0,0.66,1.0,CO[C@@]1(NC(=O)C(C(=O)[O-])c2ccc([O-])cc2)C(=O)[NH+]2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21,"InChI=1S/C20H20N6O9S/c1-25-19(22-23-24-25)36-8-10-7-35-18-20(34-2,17(33)26(18)13(10)16(31)32)21-14(28)12(15(29)30)9-3-5-11(27)6-4-9/h3-6,12,18,27H,7-8H2,1-2H3,(H,21,28)(H,29,30)(H,31,32)/p-2/t12?,18-,20+/m1/s1",518.0866943158201
N1CCC[C@H]([C@H]12)CN(C2)c(c(F)c3)c(OC)c(c34)n(C5CC5)cc(c4=O)C(=O)O,Moxifloxacin,2.4,42.5,3.7,11.5,1.4,3.6,2.7,4.9,0.6,0.63,0.71,0.62,COc1c(N2C[C@@H]3CCC[NH2+][C@@H]3C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,"InChI=1S/C21H24FN3O4/c1-29-20-17-13(19(26)14(21(27)28)9-25(17)12-4-5-12)7-15(22)18(20)24-8-11-3-2-6-23-16(11)10-24/h7,9,11-12,16,23H,2-6,8,10H2,1H3,(H,27,28)/t11-,16+/m0/s1",401.17508446799997
Clc1nc(C)nc(OC)c1NC2=NCCN2,Moxonidine,11.0,50.1,,,1.8,3.2,,,0.93,,,,COc1nc(C)nc(Cl)c1NC1=[NH+]CCN1,"InChI=1S/C9H12ClN5O/c1-5-13-7(10)6(8(14-5)16-2)15-9-11-3-4-12-9/h3-4H2,1-2H3,(H2,11,12,15)/p+1",242.08031413608998
c1cc(F)cc(c12)CCC(O2)C(O)CNCC(O)C(O3)CCc(c34)cc(F)cc4,Nebivolol,14.0,49.0,,,11.0,6.2,,,0.02,0.015,,,OC(C[NH2+]CC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,"InChI=1S/C22H25F2NO4/c23-15-3-7-19-13(9-15)1-5-21(28-19)17(26)11-25-12-18(27)22-6-2-14-10-16(24)4-8-20(14)29-22/h3-4,7-10,17-18,21-22,25-27H,1-2,5-6,11-12H2/p+1",406.18244117208997
Clc1cccc(c1)N2CCN(CC2)CCCn3nc(CC)n(c3=O)CCOc4ccccc4,Nefazodone,7.5,,26.0,,0.51,,3.24,,0.01,,,,CCc1nn(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,"InChI=1S/C25H32ClN5O2/c1-2-24-27-31(25(32)30(24)18-19-33-23-10-4-3-5-11-23)13-7-12-28-14-16-29(17-15-28)22-9-6-8-21(26)20-22/h3-6,8-11,20H,2,7,12-19H2,1H3/p+1",470.23172939609
O[C@@H]1[C@@H](CO)O[C@H]([C@H]1O)n(cn2)c(c23)nc(N)nc3OC,Nelarabine,81.0,,,42.0,4.9,,,1.3,0.8,,,,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,"InChI=1S/C11H15N5O5/c1-20-9-5-8(14-11(12)15-9)16(3-13-5)10-7(19)6(18)4(2-17)21-10/h3-4,6-7,10,17-19H,2H2,1H3,(H2,12,14,15)/t4-,6-,7+,10-/m1/s1",297.10731857999997
O[C@]1(C)[C@H](NC)[C@@H](O)[C@H](OC1)O[C@H]2[C@H](NCC)C[C@H](N)[C@H]([C@@H]2O)OC3OC(CN)=CCC3N,Netilmicin,0.55,,3.4,,0.07,,0.34,,1.0,,,,CC[NH2+][C@@H]1C[C@H]([NH3+])[C@@H](OC2OC(C[NH3+])=CCC2[NH3+])[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H]([NH2+]C)[C@H]1O,"InChI=1S/C21H41N5O7/c1-4-26-13-7-12(24)16(32-19-11(23)6-5-10(8-22)31-19)14(27)17(13)33-20-15(28)18(25-3)21(2,29)9-30-20/h5,11-20,25-29H,4,6-9,22-24H2,1-3H3/p+5/t11?,12-,13+,14-,15+,16+,17-,18+,19?,20+,21-/m0/s1",480.33698091244986
[O-][N+](=O)c1cccc(c1)C2C(=C(C)NC(C)=C2C(=O)OC)C(=O)OCCN(C)Cc3ccccc3,Nicardipine,11.0,163.0,37.0,27.0,1.0,1.9,2.39,1.23,0.01,0.084,0.062,0.06,COC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OCC[NH+](C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,"InChI=1S/C26H29N3O6/c1-17-22(25(30)34-4)24(20-11-8-12-21(15-20)29(32)33)23(18(2)27-17)26(31)35-14-13-28(3)16-19-9-6-5-7-10-19/h5-12,15,24,27H,13-14,16H2,1-4H3/p+2",481.22018855218
CN1CCC[C@H]1c2cccnc2,Nicotine,18.0,46.3,42.0,,2.6,2.77,3.3,,0.95,,,,C[NH+]1CCC[C@H]1c1cccnc1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/p+1/t10-/m0/s1",163.12297490009
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c2c([N+]([O-])=O)cccc2,Nifedipine,7.3,5.9,12.3,,0.79,0.27,1.15,,0.044,0.035,,,COC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],"InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,18H,1-4H3/p+1",347.12376274809003
[O-][N+](=O)c1cccc(c1)C2C(C(=O)OC(C)C)=C(C)NC(C)=C2C(=O)OCCOC,Nimodipine,15.0,19.6,18.0,33.0,1.1,5.5,3.0,3.62,0.016,0.03,0.03,0.095,COCCOC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,"InChI=1S/C21H26N2O7/c1-12(2)30-21(25)18-14(4)22-13(3)17(20(24)29-10-9-28-5)19(18)15-7-6-8-16(11-15)23(26)27/h6-8,11-12,19,22H,9-10H2,1-5H3/p+1",419.18127762409
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c2c([N+]([O-])=O)cccc2,Nisoldipine,15.0,45.8,37.2,,5.5,0.89,4.1,,0.003,0.009,0.028,,COC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],"InChI=1S/C20H24N2O6/c1-11(2)10-28-20(24)17-13(4)21-12(3)16(19(23)27-5)18(17)14-8-6-7-9-15(14)22(25)26/h6-9,11,18,21H,10H2,1-5H3/p+1",389.17071294009
[O-][N+](=O)c1ccc(o1)/C=N/N2CC(=O)NC2=O,Nitrofurantoin,9.7,22.7,,,0.57,0.34,,,0.17,0.48,,,O=c1[n-]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,"InChI=1S/C8H6N4O5/c13-6-4-11(8(14)10-6)9-3-5-1-2-7(17-5)12(15)16/h1-4H,(H2,10,13,14)/p-1/b9-3+",237.02654283991
C[NH+]1CCN(CC1)c2c(F)cc3c(=O)c(C([O-])=O)cn(c3c24)C(CO4)C,Ofloxacin,2.5,13.2,23.2,,1.6,1.42,1.3,,0.75,0.64,0.51,0.71,CC1COc2c(N3CC[NH+](C)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)",361.14378433999997
OC1C(N(C)C)CC(C)OC1OC(C(C)CC23OC2)C(C)C(OC4OC(C)C(O)C(C4)OC)C(C)C(=O)OC(C)C(C)C(O)C(C3=O)C,Oleandomycin,9.1,51.0,12.0,,0.77,6.8,1.6,,0.3963,0.46,0.1297,,COC1CC(OC2C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC([NH+](C)C)C3O)C2C)OC(C)C1O,"InChI=1S/C35H61NO12/c1-16-14-35(15-43-35)32(40)19(4)27(37)18(3)22(7)46-33(41)21(6)31(47-26-13-25(42-11)28(38)23(8)45-26)20(5)30(16)48-34-29(39)24(36(9)10)12-17(2)44-34/h16-31,34,37-39H,12-15H2,1-11H3/p+1",688.4266528440901
COc(cc1)cc(c12)[nH]c(n2)S(=O)Cc3ncc(C)c(OC)c3C,Omeprazole,8.4,53.0,,,0.24,0.44,,,0.05,0.19,,,COc1ccc2nc([S+](O)Cc3ncc(C)c(OC)c3C)[n-]c2c1,"InChI=1S/C17H19N3O3S/c1-10-8-18-15(11(2)16(10)23-4)9-24(21)17-19-13-6-5-12(22-3)7-14(13)20-17/h5-8,21H,9H2,1-4H3",345.11471246800005
CCC(CC)O[C@@H]1C=C(C([O-])=O)C[C@H]([NH3+])[C@H]1NC(=O)C,Oseltamivir acid,4.8,25.0,5.3,,0.37,1.3,0.56,,0.97,,0.3039,,CCC(CC)O[C@@H]1C=C(C(=O)[O-])C[C@H]([NH3+])[C@H]1NC(C)=O,"InChI=1S/C14H24N2O4/c1-4-10(5-2)20-12-7-9(14(18)19)6-11(15)13(12)16-8(3)17/h7,10-13H,4-6,15H2,1-3H3,(H,16,17)(H,18,19)/t11-,12+,13+/m0/s1",284.173607248
c1cc(Cl)cc(c12)C(=NC(O)C(=O)N2)c3ccccc3,Oxazepam,1.1,24.1,33.0,,0.59,2.0,,,0.04,0.09,,,O=C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O,"InChI=1S/C15H11ClN2O2/c16-10-6-7-12-11(8-10)13(9-4-2-1-3-5-9)18-15(20)14(19)17-12/h1-8,14,17,19H",286.050905272
[C@@]123[C@@H]4C(=O)CC[C@@]2(O)[C@H](N(C)CC3)Cc5c1c(O4)c(OC)cc5,Oxycodone,6.1,82.0,,,2.5,2.8,,,0.55,0.87,,,COc1ccc2c3c1OC1C(=O)CC[C@@]4(O)[C@@H](C2)[NH+](C)CC[C@]314,"InChI=1S/C18H21NO4/c1-19-8-7-17-14-10-3-4-12(22-2)15(14)23-16(17)11(20)5-6-18(17,21)13(19)9-10/h3-4,13,16,21H,5-9H2,1-2H3/p+1/t13-,16?,17+,18-/m1/s1",316.15433460409
